188.95.70.132:2053#DE [优选高速 155.8ms | 10.03Mbps]
188.95.70.31:8443#DE [159.53ms | 0.0Mbps]
57.129.63.155:2053#DE [164.93ms | 0.0Mbps]
57.129.63.64:8443#DE [167.91ms | 0.0Mbps]
188.68.43.154:443#DE [168.76ms | 0.0Mbps]
51.210.148.173:443#FR [174.01ms | 0.0Mbps]
51.210.148.173:8443#FR [198.66ms | 0.0Mbps]
51.210.151.193:8443#FR [199.55ms | 0.0Mbps]
51.178.27.222:8443#FR [200.53ms | 0.0Mbps]
104.252.89.26:443#FR [203.72ms | 0.0Mbps]
103.43.191.121:8443#HK [91.24ms | 0.0Mbps]
103.224.80.7:2087#HK [105.07ms | 0.0Mbps]
103.192.179.132:443#HK [147.93ms | 0.0Mbps]
123.202.201.128:8443#HK [149.93ms | 0.0Mbps]
104.253.175.202:443#HK [369.92ms | 0.0Mbps]
139.84.168.252:2053#IN [156.02ms | 0.0Mbps]
103.181.177.88:443#IN [259.48ms | 0.0Mbps]
139.84.146.103:8443#IN [321.5ms | 0.0Mbps]
139.84.139.219:443#IN [336.62ms | 0.0Mbps]
139.84.221.153:8443#IN [338.02ms | 0.0Mbps]
151.241.129.141:443#JP [92.16ms | 0.0Mbps]
126.220.82.161:443#JP [136.22ms | 0.0Mbps]
151.241.131.13:8443#JP [140.05ms | 0.0Mbps]
115.163.106.137:443#JP [148.21ms | 0.0Mbps]
108.160.132.178:443#JP [157.4ms | 0.0Mbps]
123.111.169.70:443#KR [105.59ms | 7.23Mbps]
123.111.169.70:2096#KR [106.56ms | 0.0Mbps]
123.111.169.70:2083#KR [110.39ms | 0.0Mbps]
123.111.169.70:2087#KR [110.4ms | 7.35Mbps]
118.218.10.159:443#KR [110.71ms | 8.04Mbps]
103.88.242.134:443#RU [254.68ms | 0.0Mbps]
104.128.141.202:443#RU [260.3ms | 0.0Mbps]
51.250.116.137:8443#RU [277.31ms | 0.0Mbps]
109.122.199.119:2053#RU [281.17ms | 0.0Mbps]
109.107.189.6:443#RU [286.76ms | 0.0Mbps]
154.26.128.147:443#SG [166.47ms | 0.0Mbps]
139.59.115.38:443#SG [239.21ms | 0.0Mbps]
139.59.250.249:443#SG [244.12ms | 0.0Mbps]
139.59.123.238:443#SG [252.06ms | 0.0Mbps]
104.248.159.171:443#SG [252.22ms | 0.0Mbps]
151.242.189.137:443#TW [274.72ms | 0.0Mbps]
103.115.108.45:443#TW [392.96ms | 0.0Mbps]
103.137.63.227:8443#TW [1079.25ms | 0.0Mbps]
154.21.87.223:443#US [优选高速 131.12ms | 24.57Mbps]
69.63.193.100:443#US [优选高速 133.14ms | 24.43Mbps]
154.21.90.126:8443#US [优选高速 136.43ms | 25.03Mbps]
154.21.89.103:8443#US [优选高速 139.2ms | 28.07Mbps]
154.17.26.88:443#US [优选高速 140.58ms | 25.85Mbps]
